Journal,Scope
STATISTICS & PROBABILITY LETTERS,"Statistics & Probability Letters adopts a novel and highly innovative approach to the publication of research findings in statistics and probability. It features concise articles, rapid publication and broad coverage of the statistics and probability literature.
Statistics & Probability Letters is a refereed journal. Articles will be limited to six journal pages (13 double-space typed pages) including references and figures. Apart from the six-page limitation, originality, quality and clarity will be the criteria for choosing the material to be published in Statistics & Probability Letters. Every attempt will be made to provide the first review of a submitted manuscript within three months of submission.
The proliferation of literature and long publication delays have made it difficult for researchers and practitioners to keep up with new developments outside of, or even within, their specialization. The aim of Statistics & Probability Letters is to help to alleviate this problem. Concise communications (letters) allow readers to quickly and easily digest large amounts of material and to stay up-to-date with developments in all areas of statistics and probability.
The mainstream of Letters will focus on new statistical methods, theoretical results, and innovative applications of statistics and probability to other scientific disciplines. Key results and central ideas must be presented in a clear and concise manner. These results may be part of a larger study that the author will submit at a later time as a full length paper to SPL or to another journal. Theory and methodology may be published with proofs omitted, or only sketched, but only if sufficient support material is provided so that the findings can be verified. Empirical and computational results that are of significant value will be published. We also plan to publish applications and case studies that demonstrate a novel use of existing techniques or have interesting innovative ideas about data collection, modelling or inference."
STATISTICS AND COMPUTING,"Statistics and Computing is a bi-monthly refereed journal which publishes papers covering the range of the interface between the statistical and computing sciences.
In particular, it addresses the use of statistical concepts in computing science, for example in machine learning, computer vision and data analytics, as well as the use of computers in data modelling, prediction and analysis. Specific topics which are covered include: techniques for evaluating analytically intractable problems such as bootstrap resampling, Markov chain Monte Carlo, sequential Monte Carlo, approximate Bayesian computation, search and optimization methods, stochastic simulation and Monte Carlo, graphics, computer environments, statistical approaches to software errors, information retrieval, machine learning, statistics of databases and database technology, huge data sets and big data analytics, computer algebra, graphical models, image processing, tomography, inverse problems and uncertainty quantification.
In addition, the journal contains original research reports, authoritative review papers, discussed papers, and occasional special issues on particular topics or carrying proceedings of relevant conferences. Statistics and Computing also publishes book review and software review sections."
STATISTICS,"Statistics is a leading international research journal that publishes high-quality research articles which develop new theory, methods and applications in any active field of statistics and statistical learning. Papers submitted for consideration should provide novel contributions to statistical theory, with rigorous mathematical proofs; or relevant statistical applications, with well demonstrated use cases. Statistics does not publish papers which contain non-applicable statistical theory, or statistical applications not based on a solid theoretical background (e.g. pure case studies which are not interesting from a statistical view). Topics of interest include, for example:
statistical learning
machine learning
nonparametric statistics
functional data analysis
time series
network models
econometrics
psychometrics
survival analysis
risk management
evaluation of artificial intelligence applications.
Proposals for high-quality special issues within the general framework of the journal will be considered on their merit and should be sent to the Co-Editors for review."
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,"The international journal Advances in Data Analysis and Classification (ADAC) is designed as a forum for high standard publications on research and applications concerning the extraction of knowable aspects from whatever types of data. It publishes articles on topics as, e.g.,
Structural, quantitative, or statistical approaches for the analysis of data,
Advances in classification, clustering, and pattern recognition methods,
Strategies for modeling complex data and mining large data sets,
Methods for the extraction of knowledge from whatever type of data, and
Applications of advanced methods in specific domains of practice.
In particular, this comprises the consideration and handling of new data types as well as the analysis of complex structures such as text data and webfiles. Whereas the discussion of theoretical, statistical, or algorithmic advances in methodology is a major issue (e.g., in classification and clustering), the journal encourages strongly the publication of applications that illustrate how new domain-specific knowledge can be made available from data by skillful use of data analysis methods. In addition to contributed papers on specific topics, the journal also publishes survey papers that outline, and illuminate, the basic ideas and techniques of special approaches. On occasion, specialized topics will be presented in a special issue. The journal is supported by several scientific societies which aim to foster the area of classification and data analysis.
Supported by the International Federation of Classification Societies
Funded by the Italian, German, and Japanese Classification Societies (CLADAG, GfKl, JCS)"
ANNALS OF STATISTICS,"The Annals of Statistics aim to publish research papers of highest quality reflecting the many facets of contemporary statistics. Primary emphasis is placed on importance and originality, not on formalism. The journal aims to cover all areas of statistics, especially mathematical statistics and applied/interdisciplinary statistics. Of course many of the best papers will touch on more than one of these general areas, because the discipline of statistics has deep roots in mathematics, and in substantive scientific fields.
Mathematical Statistics
Mathematics provides the language in which models, the properties of statistical methods and computation algorithms are formulated. It is essential for rigor, coherence, clarity and understanding. Consequently, our policy is to continue to play a special role in presenting research at the forefront of mathematical statistics, especially theoretical advances that are likely to have a significant impact on statistical methodology, computation or understanding.
Applied and Interdisciplinary Statistics
Substantive fields are essential for continued vitality of statistics since they provide the motivation and direction for most of the future developments in statistics. We thus intend to publish papers relating to the role of statistics in interdisciplinary investigations in all fields of natural, medical, technical and social science."
AMERICAN STATISTICIAN,"Are you looking for general-interest articles about
current national and international statistical problems and programs,
interesting and fun articles of a general nature about statistics and its applications, or
the teaching of statistics?
Then you are looking for The American Statistician ( TAS ), published quarterly by the American Statistical Association. TAS contains timely articles organized into the following sections: Statistical Practice, General, Teacher's Corner, Statistical Computing and Graphics, Reviews of Books and Teaching Materials, Letters to the Editor, History Corner, and Interdisciplinary.
Statistical Practice
This section contains articles that are interesting or useful with regard to the practice of statistics, such as:
case studies that illustrate important lessons and issues involved in the practice of statistics, or that deal with applications having broad appeal;
discussions and comparisons of modern statistical methods, focusing on their usefulness in practice;
articles that address practical problems at the interface between statistical methodology and areas of application; and
articles that present statistical solutions to current industrial problems, with emphasis on methodology.
General
The following list illustrates examples of topics for articles in this section:
national and international statistical problems and programs, and public policy matters of direct interest to the statistical profession;
the history of statistics and probability;
commentaries, or informative essays, that provide viewpoints and perspective on statistical topics of general interest (these are similar in spirit to Letters to the Editor but involve longer discussions of background, issues, and perspective);
methodological developments that are both of broad interest to statisticians and generally not highly technical; and
expository or tutorial state-of-the-art surveys of the discipline.
The editorial board particularly desires to attract expository articles written for a general statistical audience on topics of current importance in areas including, but not limited to, the preceding list.
Teacher's Corner
In this section, The American Statistician publishes articles, notes, and discussions of interest to statistics teachers covering a variety of different courses and settings. The range includes:
statistics and probability topics for high school students, including Advanced Placement Statistics;
introductory college courses in statistics for all audiences;
applied statistics courses at all levels;
industrial and continuing education outside the framework of standard academic courses; and
mathematical statistics courses at the undergraduate and first-year graduate level. An article for this section should state clearly the type of course in which the material is useful and it is desirable to discuss student reactions to the ideas presented.
Statistical Computing and Graphics
This section includes articles about statistical computing and statistical graphics that are of broad interest to statisticians. For example, topics can include new graphical procedures or comparisons and evaluations of existing procedures; proposals of computational algorithms or assessments in terms of speed or numerical stability; and computational methods for simulation and approximation.
This section also includes a special component, Statistical Computing Software Reviews, which contains reports in the style of book reviews, generally extensive and comparative, on selected computer software systems.
Reviews of Books and Teaching Materials
The American Statistician publishes reviews of materials related to the teaching of undergraduate and service courses in statistics. This includes textbooks for such sources; special volumes and conference proceedings concerning statistical education; software, videotapes, organized sources of data, and internet resources intended for purposes of statistical education. While only professionally published materials are typically considered for review, high-quality self-published resources that are of broad interest to the statistical community may be considered on a case-by-case basis. All reviews are coordinated with the Journal of the American Statistical Association through the Reviews Editor, who handles both The American Statistician and JASA and selects reviews for The American Statistician according to the above criteria. Items are not reviewed in both journals. Book publishers and developers of other items who wish to have their products reviewed in this section should contact: Jay Breidt fjay.breidt@colostate.edu
Letters to the Editor
Letters to the Editor are confined to discussions of papers that have appeared recently in The American Statistician and to discussions of important issues facing the statistical community. Letters discussing papers must be received within three months of publication of the paper; the author of the paper will then be given an opportunity to reply, and the letters and reply will be published together. All letters to the editor are refereed.
History Corner
Articles relating to the history of statistics, from very old to somewhat recent history, are welcome. Examples may include archival research on the early days of the ASA showing some interesting new facet; papers displaying historical trends in the use of statistics in teaching, research and practice; re-interpretations of history in modern light (e.g., as changed by modern technology); unearthing of little-known contributions by historical statistical luminaries; and recollections of general interest. ""History"" is interpreted fairly broadly: technology has rendered much of the latter part of the 20th century ""historical.""
Interdisciplinary
This section has a character somewhat like JASA Applications and Case Studies, as well as Statistical Science, but with perhaps greater subject matter emphasis, and certainly with greater accessibility and clear exposition characteristic of TAS. Papers in this section should:
bring more domain-specific application knowledge to statisticians; and
make TAS and the ASA in general more attractive to people who are ""on the fringes"" of statistics, but housed in various ""nonstatistics"" academic, professional, and scientific disciplines. Types of papers in this section include surveys of uses of statistics in fields that are considered primarily not statistics, descriptions of important problems in particular disciplines in need of statistical methods, and critical reviews of statistical methodologies that are in common use outside of the statistical core.
Data Science
Papers in this section would normally include either novel developments in classifications, clustering, predictive modeling, or alternatively, would utilize these statistical tools to creatively solve applied problems, potentially via inter-disciplinary teams, that have a significant impact. In either case, papers for the data science section should reflect an expository writing style.
Tutorial
This section is designed to provide an entry point to professional statisticians to modern statistical methods. It differs from Teacher's Corner because papers in the Tutorial section are not written with teaching students in mind. It differs from a Review Paper because the aim is not for an up-to-date bibliography of related research and/or articulation of a vision for future work. Instead, the Tutorial section calls for expository papers that explain the basics and provide a gentle introduction to areas of statistics that are fairly recent, or even on the cutting edge, and that include revealing examples and an indication on how the area impacts statistical practice.
The American Statistician is indexed by MathSci Online, ISI Web of Knowledge, the SRM Database, and Current Index to Statistics; it is also reviewed in Mathematical Reviews and abstracted in Research into Higher Education Abstracts, as well as by Information Access Group."
ANNALS OF APPLIED STATISTICS,"Statistical research spans an enormous range from direct subject-matter collaborations to pure mathematical theory. The Annals of Applied Statistics, the newest journal from the IMS, is aimed at papers in the applied half of this range. Published quarterly in both print and electronic form, our goal is to provide a timely and unified forum for all areas of applied statistics."
BIOMETRICS,"Published on behalf of the International Biometric Society, Biometrics emphasizes the role of statistics and mathematics in the biosciences. Its objectives are to promote and extend the use of statistical and mathematical methods in the principal disciplines of biosciences by reporting on the development and application of these methods. A centerpiece of most Biometrics articles is scientific application that sets scientific or policy objectives, motivates methods development, and demonstrates the operations of new methods.
Papers in the journal appear in one of four sections. The Biometric Methodology section presents papers that focus on the development of new methods and results of use in the biosciences. The Biometric Practice section contains papers involving innovative applications of methods and providing practical contributions and guidance, biological insight, and/or significant new findings. Neutral comparisons (guideline manuscripts) will be considered. Reader Reaction papers refer directly to articles previously published in the journal, and Letters to the Editors provide comments and suggestions on the journal and its content. The Book Review section intends to offer timely reviews of newly published books, including statisticians and people from other disciplines, who are interested in theoretical and methodological development and evolution in Biometrics."
BERNOULLI,"Issued four times per year, Bernoulli is the flagship journal of the Bernoulli Society for Mathematical Statistics and Probability.
The journal aims at publishing original research contributions of the highest quality in all subfields of Mathematical Statistics and Probability (although, for some submissions, authors might be encouraged to submit their work to other, more thematic, outlets sponsored by the Bernoulli Society).
The main emphasis of Bernoulli is on theoretical work, yet discussion of interesting applications in relation to the proposed methodology is also welcome."
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,"Annals of the Institute of Statistical Mathematics (AISM) aims to provide a forum for open communication among statisticians, and to contribute to the advancement of statistics as a science to enable humans to handle information in order to cope with uncertainties. It publishes high-quality papers that shed new light on the theoretical, computational and/or methodological aspects of statistical science. Emphasis is placed on (a) development of new methodologies motivated by real data, (b) development of unifying theories, and (c) analysis and improvement of existing methodologies and theories. It also seeks to contribute to statistical science in machine learning and econometrics. AISM is trying to make faster decisions after the reception. For example, around 60%, 80%, and 90% of submissions received from July 2019 to June 2020 had a review time from receipt to first decision of 1, 3, and 5 months or less, respectively."
BIOMETRIKA,"The three primary criteria by which all papers are judged are:
1. importance of the work to the understanding, practice or potential practice of statistics;
2. the degree of conceptual novelty and insight;
3. the conciseness and clarity with which the ideas are conveyed.
The novelty may take many forms, including: the development of new methodology accompanied by an insightful analysis; papers where the innovation is around computational efficiency, where this is important for the application of the statistical method; a penetrating exposition of anomalous or unforeseen behaviour of mainstream inferential tools; original formulations uncovering foundational structure with potential relevance to statistical practice. Papers concerned purely with sampling properties of existing procedures or minor developments thereof are typically unsuitable unless such properties reveal considerable structural understanding. We do not publish purely applied work.
Biometrika publishes three types of paper: regular papers, synthesis papers (both normally fewer than 20 pages) and miscellanea articles (max. 8 pages). Miscellanea papers are not expected to have the breadth of contribution of regular papers but need to meet the same standards in terms of importance of the work, novelty of the insights, and general quality. Synthesis papers should either open up an emerging area outside of statistics to a statistical audience, assuming that area will be important to statistics, or be a synthesis of two or more areas of statistics that brings fundamental new insight.Papers that introduce a new application area for statistics are not appropriate."
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,"Communications in Statistics - Simulation and Computation is a subscription-based, peer-reviewed journal covering theoretical and methodological advances at the interface of probability, statistics, and computation.
We expect contributions to have a primary statistical focus and in particular welcome contributions in the following areas:
algorithmic development
scalable and high-performance computing for statistical methods
Monte Carlo and resampling
graphical and visualization-based inference
statistical learning, and
other computationally intensive approaches
Comprehensive, well-designed, and reproducible simulation studies that rigorously assess and compare the performance of statistical or probabilistic methods are also considered. Periodic special issues on topics of current interest should aim to provide authoritative, up-to-date reviews for our readership, and we welcome proposals for such special issues submitted directly to the co-editors.
The series does not favor the following:
Papers whose primary contribution is introducing a new probability distribution or an extension of an existing distribution, or routine inference based on such distributions, unless the work demonstrates substantial, generalizable methodological or computational innovation.
Case studies that merely apply existing computational or simulation methods to analyze specific datasets without methodological advancement or broadly applicable insights.
Manuscripts focused mainly on probability or statistical theory (e.g., asymptotic properties, convergence results) that use computation or simulation only for numerical illustration rather than as a central methodological contribution. Such manuscripts may be more suitable for the Theory and Methods series.
The journal welcomes original research articles and review articles for consideration. All articles received by the Journal will be subject to single anonymous peer review.
Submissions should make clear the computational contribution and its impact on statistical methodology or practice."
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,"The Theory and Methods series intends to publish papers that make theoretical and methodological advances in Probability and Statistics. New applications of statistical and probabilistic methods will also be considered for publication. In addition, special issues dedicated to a specific topic of current interest will also be published in this series periodically, providing an exhaustive and up-to-date review of that topic to the readership."
BIOSTATISTICS,"Among the important scientific developments of the 20th century is the explosive growth in statistical reasoning and methods for application to studies of human health. Examples include developments in likelihood methods for inference, epidemiologic statistics, clinical trials, survival analysis, and statistical genetics. Substantive problems in public health and biomedical research have fueled the development of statistical methods, which in turn have improved our ability to draw valid inferences from data. The objective of Biostatistics is to advance statistical science and its application to problems of human health and disease, with the ultimate goal of advancing the public's health.
Biostatistics  is an online only journal publishing papers that develop innovative statistical methods with applications to the understanding of human health and disease, including basic biomedical sciences. Papers should focus on methods and applications. Introduction of original methodology should be grounded in substantive problems;there is the opportunity to present extensive analyses of data on the journal's website as supplementary material. Authors are strongly encouraged to submit code supporting their publications. Authors should submit a link to a Github repository and to a specific example of the code on a code archiving service such as Figshare or Zenodo.  
Papers submitted for publication in Biostatistics should satisfy at least one of the following criteria:
development of new stochastic models or statistical methodology clearly motivated by a substantive problem in health or biomedical sciences;
innovative application of statistical methodology to address a substantive problem in health or biomedical sciences;
critical review of an area of statistical methodology relevant to health or biomedical science applications, with a focus on practical utility;
case studies based on important health or biomedical sciences data."
COMPUTATIONAL STATISTICS & DATA ANALYSIS,"Computational Statistics and Data Analysis (CSDA), an Official Publication of the network Computational and Methodological Statistics (CMStatistics) and of the International Association for Statistical Computing (IASC), is an international journal dedicated to the dissemination of methodological research and applications in the areas of computational statistics and data analysis. The journal consists of four refereed sections which are divided into the following subject areas: I) Computational Statistics - Manuscripts dealing with: 1) the explicit impact of computers on statistical methodology (e.g., Bayesian computing, bioinformatics,computer graphics, computer intensive inferential methods, data exploration, data mining, expert systems, heuristics, knowledge based systems, machine learning, neural networks, numerical and optimization methods, parallel computing, statistical databases, statistical systems), and 2) the development, evaluation and validation of statistical software and algorithms. Software and algorithms can be submitted with manuscripts and will be stored together with the online article. II) Statistical Methodology for Data Analysis - Manuscripts dealing with novel and original data analytical strategies and methodologies applied in biostatistics (design and analytic methods for clinical trials, epidemiological studies, statistical genetics, or genetic/environmental interactions), chemometrics, classification, data exploration, density estimation, design of experiments, environmetrics, education, image analysis, marketing, model free data exploration, pattern recognition, psychometrics, statistical physics, image processing, robust procedures. III) Special Applications - IV) Annals of Statistical Data Science "
ELECTRONIC JOURNAL OF STATISTICS,"The Electronic Journal of Statistics (EJS) publishes research articles and short notes on theoretical, computational and applied statistics. The journal is open access. Articles are refereed and are held to the same standard as articles in other IMS journals. Articles become publicly available shortly after they are accepted."
JOURNAL OF APPLIED STATISTICS,"Journal of Applied Statistics is a world-leading journal which provides a forum for communication among statisticians and practitioners for judicious application of statistical principles and innovations of statistical methodology motivated by current and important real-world examples across a wide range of disciplines, including, but not limited to:
biological and biomedical sciences
business, economics, management and finance
computer science and information technology
data science
ecology
education
engineering
genetics and genomics
medicine and related disciplines
operations research
social sciences
The editorial policy is to publish rigorous, clear and accessible papers on methods developed for real-life statistical problems, and which are anticipated to have a broad scientific impact. Purely theoretical papers are avoided but those on theoretical developments which clearly exhibit concrete applied potential may be considered. Papers demonstrating creative development of statistical techniques based on a true challenge in a subject area are strongly encouraged. The Journal publishes original research papers, review articles, and short application notes.
In general, original research papers should present one or two challenges in an area, include relevant data, provide a novel method to solve challenges, and demonstrate that the proposed method has answered questions that were not properly or optimally addressed before by relevant existing methods.
Review articles should focus on one or more current statistical research methods that have been widely used by other discipline(s), along with applications and a discussion for future directions.
Application notes should at least illustrate innovative application of existing statistical method(s) to a data challenge in any discipline with convincing findings. Statistical software/software package papers (written in R, Python, or other software tools, openly accessible by researchers) are also welcome as Application Notes if the software is developed to implement a new statistical method, to provide innovative application of existing statistical method(s) that have not been implemented as software, or to substantially improve current statistical software. Please refer to the Instructions for Authors for specific guidelines on how to prepare software papers.
All papers must be prepared using the Journal's templates. Original research and review articles should not typically be more than 20 manuscript pages, while application notes should be at most 15 manuscript pages. Theoretical appendices, datasets, and multimedia material can be published as supplemental online material."
